Week;Zraneni;AE
26.tyzden.2015;9;366.178571
27.tyzden.2015;18;151.779762
28.tyzden.2015;23;206.351190
29.tyzden.2015;15;206.833333
30.tyzden.2015;20;198.238095
31.tyzden.2015;21;214.279762
32.tyzden.2015;22;240.607143
33.tyzden.2015;14;309.101190
34.tyzden.2015;20;305.226190
35.tyzden.2015;16;402.410714
36.tyzden.2015;22;202.553572
37.tyzden.2015;21;429.083333
38.tyzden.2015;24;293.773810
39.tyzden.2015;18;120.071428
40.tyzden.2015;14;236.523810
41.tyzden.2015;14;447.184524
42.tyzden.2015;19;300.470238
43.tyzden.2015;14;123.839286
44.tyzden.2015;18;109.636905
45.tyzden.2015;18;326.571429
46.tyzden.2015;16;305.690476
47.tyzden.2015;19;147.684524
48.tyzden.2015;19;78.982143
49.tyzden.2015;15;225.660714
50.tyzden.2015;17;232.934524
51.tyzden.2015;21;238.666667
52.tyzden.2015;22;186.359849
1.tyzden.2016;9;158.550000
2.tyzden.2016;18;133.160714
3.tyzden.2016;8;219.059524
4.tyzden.2016;16;92.767857
5.tyzden.2016;8;165.505952
6.tyzden.2016;11;165.750000
7.tyzden.2016;13;292.916667
8.tyzden.2016;16;87.880952
9.tyzden.2016;8;110.190476
10.tyzden.2016;7;200.315476
11.tyzden.2016;18;312.732143
12.tyzden.2016;6;98.720238
13.tyzden.2016;12;184.297619
14.tyzden.2016;12;129.113095
15.tyzden.2016;11;333.613095
16.tyzden.2016;14;98.035714
17.tyzden.2016;20;149.750000
18.tyzden.2016;11;353.291667
19.tyzden.2016;10;265.946428
20.tyzden.2016;12;205.095238
21.tyzden.2016;15;153.976191
22.tyzden.2016;20;180.797619
23.tyzden.2016;24;212.029762
24.tyzden.2016;14;177.500000
25.tyzden.2016;16;169.470238
26.tyzden.2016;15;146.541667
27.tyzden.2016;16;233.625000
28.tyzden.2016;27;246.672619
29.tyzden.2016;9;154.553571
30.tyzden.2016;12;211.166667
31.tyzden.2016;25;266.714286
32.tyzden.2016;27;230.476191
33.tyzden.2016;30;125.928571
34.tyzden.2016;15;182.053571
35.tyzden.2016;23;395.755952
36.tyzden.2016;24;208.875000
37.tyzden.2016;30;128.220238
38.tyzden.2016;18;138.267857
39.tyzden.2016;13;448.708333
40.tyzden.2016;19;195.178571
41.tyzden.2016;11;240.154762
42.tyzden.2016;16;134.119048
43.tyzden.2016;16;504.458333
44.tyzden.2016;17;190.601191
45.tyzden.2016;16;181.630952
46.tyzden.2016;17;79.750000
47.tyzden.2016;23;267.392857
48.tyzden.2016;13;70.434524
49.tyzden.2016;12;209.916667
50.tyzden.2016;21;73.785714
51.tyzden.2016;12;286.934524
52.tyzden.2016;9;168.486111
