Week;Zraneni;Sunspot
9.tyzden.2016;8;77.142857
10.tyzden.2016;7;70.142857
11.tyzden.2016;18;57.142857
12.tyzden.2016;6;29.571429
13.tyzden.2016;12;17.000000
14.tyzden.2016;12;28.000000
15.tyzden.2016;11;40.714286
16.tyzden.2016;14;25.857143
17.tyzden.2016;20;75.142857
18.tyzden.2016;11;60.285714
19.tyzden.2016;10;77.571429
20.tyzden.2016;12;36.857143
21.tyzden.2016;15;30.000000
22.tyzden.2016;20;20.285714
23.tyzden.2016;24;23.428571
24.tyzden.2016;14;40.000000
25.tyzden.2016;16;15.285714
26.tyzden.2016;15;4.428571
27.tyzden.2016;16;28.285714
28.tyzden.2016;27;57.285714
29.tyzden.2016;9;44.571429
30.tyzden.2016;12;9.428571
31.tyzden.2016;25;24.285714
32.tyzden.2016;27;71.428571
33.tyzden.2016;30;47.142857
34.tyzden.2016;15;49.857143
35.tyzden.2016;23;68.857143
36.tyzden.2016;24;58.285714
37.tyzden.2016;30;29.428571
38.tyzden.2016;18;50.285714
39.tyzden.2016;13;18.428571
40.tyzden.2016;19;52.000000
41.tyzden.2016;11;45.857143
42.tyzden.2016;16;24.428571
43.tyzden.2016;16;22.714286
44.tyzden.2016;17;17.714286
45.tyzden.2016;16;17.571429
46.tyzden.2016;17;25.428571
47.tyzden.2016;23;12.857143
48.tyzden.2016;13;49.571429
49.tyzden.2016;12;19.000000
50.tyzden.2016;21;14.714286
51.tyzden.2016;12;11.857143
52.tyzden.2016;9;10.166667
