Week;Zraneni;Temperature
35.tyzden.2018;15;75331.285714
36.tyzden.2018;13;62969.023810
37.tyzden.2018;14;116896.595238
38.tyzden.2018;17;88008.017857
39.tyzden.2018;14;63286.440476
40.tyzden.2018;35;72860.095238
41.tyzden.2018;19;115809.226190
42.tyzden.2018;19;67362.684524
43.tyzden.2018;13;44890.125000
44.tyzden.2018;21;37399.857143
45.tyzden.2018;23;125551.351190
46.tyzden.2018;22;61821.380952
47.tyzden.2018;23;50398.452381
48.tyzden.2018;17;51727.321429
49.tyzden.2018;23;113424.940476
50.tyzden.2018;22;60769.976190
51.tyzden.2018;20;90868.601191
52.tyzden.2018;6;86925.767857
