Week;Nehodovost;AE
40.tyzden.2011;333;164.815476
41.tyzden.2011;303;67.232143
42.tyzden.2011;330;61.101191
43.tyzden.2011;299;111.857143
44.tyzden.2011;251;165.982143
45.tyzden.2011;239;48.994048
46.tyzden.2011;276;41.958333
47.tyzden.2011;225;103.702381
48.tyzden.2011;296;129.910714
49.tyzden.2011;307;57.964286
50.tyzden.2011;340;38.714286
51.tyzden.2011;347;68.517857
52.tyzden.2011;194;62.868055
1.tyzden.2012;233;99.187500
2.tyzden.2012;256;77.910714
3.tyzden.2012;292;127.202381
4.tyzden.2012;250;208.541667
5.tyzden.2012;199;123.863095
6.tyzden.2012;208;137.494047
7.tyzden.2012;309;210.577381
8.tyzden.2012;225;149.553571
9.tyzden.2012;207;249.339286
10.tyzden.2012;201;396.053571
11.tyzden.2012;209;361.261905
12.tyzden.2012;235;128.392857
13.tyzden.2012;198;173.505952
14.tyzden.2012;215;193.952381
15.tyzden.2012;201;173.321428
16.tyzden.2012;225;179.964286
17.tyzden.2012;294;302.583333
18.tyzden.2012;269;99.023809
19.tyzden.2012;257;271.886905
20.tyzden.2012;248;160.077381
21.tyzden.2012;258;194.488095
22.tyzden.2012;250;165.011905
23.tyzden.2012;292;254.767857
24.tyzden.2012;280;261.041667
25.tyzden.2012;301;133.267857
26.tyzden.2012;279;237.053571
27.tyzden.2012;275;218.136905
28.tyzden.2012;303;442.535714
29.tyzden.2012;249;286.744048
30.tyzden.2012;253;159.785714
31.tyzden.2012;258;192.488095
32.tyzden.2012;258;170.565476
33.tyzden.2012;274;205.791667
34.tyzden.2012;277;212.845238
35.tyzden.2012;265;145.166667
36.tyzden.2012;294;309.898809
37.tyzden.2012;297;82.339286
38.tyzden.2012;270;140.601190
39.tyzden.2012;270;79.047619
40.tyzden.2012;287;135.547619
41.tyzden.2012;273;366.321429
42.tyzden.2012;337;81.803571
43.tyzden.2012;289;80.595238
44.tyzden.2012;268;121.922619
45.tyzden.2012;290;77.732143
46.tyzden.2012;263;162.630952
47.tyzden.2012;299;158.815476
48.tyzden.2012;251;60.904762
49.tyzden.2012;344;38.458333
50.tyzden.2012;344;86.553572
51.tyzden.2012;342;102.744048
52.tyzden.2012;208;45.317708
1.tyzden.2013;185;31.361111
2.tyzden.2013;254;63.071429
3.tyzden.2013;259;129.583333
4.tyzden.2013;231;96.690476
5.tyzden.2013;271;69.369048
6.tyzden.2013;276;89.714286
7.tyzden.2013;242;159.482143
8.tyzden.2013;226;151.654762
9.tyzden.2013;210;172.005952
10.tyzden.2013;202;67.678572
11.tyzden.2013;263;180.744048
12.tyzden.2013;230;128.619048
13.tyzden.2013;272;211.476190
14.tyzden.2013;160;86.136905
15.tyzden.2013;232;72.279762
16.tyzden.2013;252;55.916667
17.tyzden.2013;253;221.523810
18.tyzden.2013;230;233.744048
19.tyzden.2013;249;118.750000
20.tyzden.2013;243;268.297619
21.tyzden.2013;240;337.738095
22.tyzden.2013;238;257.976191
23.tyzden.2013;241;273.809524
24.tyzden.2013;298;110.720238
25.tyzden.2013;325;272.119047
26.tyzden.2013;242;348.464286
27.tyzden.2013;275;238.333333
28.tyzden.2013;252;420.005952
29.tyzden.2013;274;205.613095
30.tyzden.2013;270;204.696429
31.tyzden.2013;249;146.273810
32.tyzden.2013;296;150.321429
33.tyzden.2013;261;222.952381
34.tyzden.2013;256;223.083333
35.tyzden.2013;249;210.964286
36.tyzden.2013;278;114.386905
37.tyzden.2013;262;106.113095
38.tyzden.2013;281;138.023810
39.tyzden.2013;264;68.047619
40.tyzden.2013;242;121.892857
41.tyzden.2013;269;147.791667
42.tyzden.2013;278;171.857143
43.tyzden.2013;277;39.970238
44.tyzden.2013;236;123.494048
45.tyzden.2013;276;158.285715
46.tyzden.2013;268;139.428571
47.tyzden.2013;308;57.928571
48.tyzden.2013;258;74.303571
49.tyzden.2013;311;108.160714
50.tyzden.2013;247;82.202381
51.tyzden.2013;303;71.279762
52.tyzden.2013;280;64.398148
1.tyzden.2014;148;179.450000
2.tyzden.2014;195;103.726191
3.tyzden.2014;216;56.583333
4.tyzden.2014;241;102.160714
5.tyzden.2014;249;66.220238
6.tyzden.2014;200;147.345238
7.tyzden.2014;228;101.255952
8.tyzden.2014;222;298.035714
9.tyzden.2014;196;120.726191
10.tyzden.2014;228;77.339286
11.tyzden.2014;234;92.184524
12.tyzden.2014;253;88.672619
13.tyzden.2014;211;102.750000
14.tyzden.2014;219;100.553572
15.tyzden.2014;250;209.636905
16.tyzden.2014;245;150.154762
17.tyzden.2014;224;172.750000
18.tyzden.2014;256;194.440476
19.tyzden.2014;256;204.416667
20.tyzden.2014;260;96.613095
21.tyzden.2014;310;143.815476
22.tyzden.2014;247;107.595238
23.tyzden.2014;276;168.107143
24.tyzden.2014;268;118.654762
25.tyzden.2014;245;189.089286
26.tyzden.2014;281;108.815476
27.tyzden.2014;248;103.255952
28.tyzden.2014;260;174.511905
29.tyzden.2014;281;76.184524
30.tyzden.2014;263;107.863095
31.tyzden.2014;238;139.226190
32.tyzden.2014;250;186.113095
33.tyzden.2014;246;110.250000
34.tyzden.2014;248;139.916667
35.tyzden.2014;255;281.285714
36.tyzden.2014;220;197.988095
37.tyzden.2014;250;145.791667
38.tyzden.2014;236;98.011905
39.tyzden.2014;247;278.827381
40.tyzden.2014;303;164.666667
41.tyzden.2014;279;157.148809
42.tyzden.2014;304;180.035714
43.tyzden.2014;298;276.672619
44.tyzden.2014;259;149.369048
45.tyzden.2014;253;143.297619
46.tyzden.2014;260;182.392857
47.tyzden.2014;253;198.738095
48.tyzden.2014;234;97.642857
49.tyzden.2014;276;199.202381
50.tyzden.2014;273;211.172619
51.tyzden.2014;323;179.107143
