Week;Zraneni;AU
30.tyzden.2016;12;87.839286
31.tyzden.2016;25;102.696429
32.tyzden.2016;27;88.982143
33.tyzden.2016;30;53.708333
34.tyzden.2016;15;67.839286
35.tyzden.2016;23;125.244048
36.tyzden.2016;24;68.886905
37.tyzden.2016;30;58.648810
38.tyzden.2016;18;57.470238
39.tyzden.2016;13;108.678572
40.tyzden.2016;19;56.565476
41.tyzden.2016;11;64.815476
42.tyzden.2016;16;42.869048
43.tyzden.2016;16;143.172619
44.tyzden.2016;17;59.726190
45.tyzden.2016;16;63.077381
46.tyzden.2016;17;30.250000
47.tyzden.2016;23;63.297619
48.tyzden.2016;13;23.648809
49.tyzden.2016;12;66.803572
50.tyzden.2016;21;28.500000
51.tyzden.2016;12;70.309524
52.tyzden.2016;9;50.083333
