Week;Nehodovost;Lyman
28.tyzden.2011;292;4.202857
29.tyzden.2011;300;4.192857
30.tyzden.2011;262;4.095714
31.tyzden.2011;237;4.142857
32.tyzden.2011;283;4.115714
33.tyzden.2011;322;4.105714
34.tyzden.2011;305;4.230000
35.tyzden.2011;243;4.255714
36.tyzden.2011;289;4.262857
37.tyzden.2011;322;4.471429
38.tyzden.2011;255;4.542857
39.tyzden.2011;333;4.522857
40.tyzden.2011;333;4.535714
41.tyzden.2011;303;4.605714
42.tyzden.2011;330;4.692857
43.tyzden.2011;299;4.544286
44.tyzden.2011;251;4.578571
45.tyzden.2011;239;5.002857
46.tyzden.2011;276;4.824286
47.tyzden.2011;225;4.687143
48.tyzden.2011;296;4.718571
49.tyzden.2011;307;4.928571
50.tyzden.2011;340;4.662857
51.tyzden.2011;347;4.685714
52.tyzden.2011;194;4.596667
1.tyzden.2012;233;4.605000
2.tyzden.2012;256;4.414286
3.tyzden.2012;292;4.585714
4.tyzden.2012;250;4.417143
5.tyzden.2012;199;4.427143
6.tyzden.2012;208;4.241429
7.tyzden.2012;309;4.315714
8.tyzden.2012;225;4.307143
9.tyzden.2012;207;4.400000
10.tyzden.2012;201;4.327143
11.tyzden.2012;209;4.241429
12.tyzden.2012;235;4.280000
13.tyzden.2012;198;4.410000
14.tyzden.2012;215;4.277143
15.tyzden.2012;201;4.214286
16.tyzden.2012;225;4.544286
17.tyzden.2012;294;4.445714
18.tyzden.2012;269;4.288571
19.tyzden.2012;257;4.370000
20.tyzden.2012;248;4.622857
21.tyzden.2012;258;4.455714
22.tyzden.2012;250;4.390000
23.tyzden.2012;292;4.625714
24.tyzden.2012;280;4.582857
25.tyzden.2012;301;4.131429
26.tyzden.2012;279;4.287143
27.tyzden.2012;275;4.534286
28.tyzden.2012;303;4.598571
29.tyzden.2012;249;4.100000
30.tyzden.2012;253;4.312857
31.tyzden.2012;258;4.635714
32.tyzden.2012;258;4.571429
33.tyzden.2012;274;4.110000
34.tyzden.2012;277;4.290000
35.tyzden.2012;265;4.662857
36.tyzden.2012;294;4.617143
37.tyzden.2012;297;4.124286
38.tyzden.2012;270;4.408571
39.tyzden.2012;270;4.858571
40.tyzden.2012;287;4.332857
41.tyzden.2012;273;4.122857
42.tyzden.2012;337;4.764286
43.tyzden.2012;289;4.712857
44.tyzden.2012;268;4.151429
45.tyzden.2012;290;4.180000
46.tyzden.2012;263;4.815714
47.tyzden.2012;299;4.661429
48.tyzden.2012;251;4.221429
49.tyzden.2012;344;4.181429
50.tyzden.2012;344;4.458571
51.tyzden.2012;342;4.404286
52.tyzden.2012;208;4.257500
1.tyzden.2013;185;4.513333
2.tyzden.2013;254;4.755714
3.tyzden.2013;259;4.528571
4.tyzden.2013;231;4.240000
5.tyzden.2013;271;4.222857
6.tyzden.2013;276;4.394286
7.tyzden.2013;242;4.325714
8.tyzden.2013;226;4.214286
9.tyzden.2013;210;4.152857
10.tyzden.2013;202;4.528571
11.tyzden.2013;263;4.528571
12.tyzden.2013;230;4.202857
13.tyzden.2013;272;4.191429
14.tyzden.2013;160;4.624286
15.tyzden.2013;232;4.657143
16.tyzden.2013;252;4.190000
17.tyzden.2013;253;4.301429
18.tyzden.2013;230;4.790000
19.tyzden.2013;249;4.558571
20.tyzden.2013;243;4.624286
21.tyzden.2013;240;4.545714
22.tyzden.2013;238;4.602857
23.tyzden.2013;241;4.387143
24.tyzden.2013;298;4.334286
25.tyzden.2013;325;4.544286
26.tyzden.2013;242;4.444286
27.tyzden.2013;275;4.402857
28.tyzden.2013;252;4.445714
29.tyzden.2013;274;4.562857
30.tyzden.2013;270;4.430000
31.tyzden.2013;249;4.340000
